Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,SmartvCard__Email__c,qbdialer__CloseDate__c,qbdialer__CloseScore__c,qbdialer__Dials__c,qbdialer__LastCallTime__c,qbdialer__Related_Contact_Dials__c,qbdialer__Related_Contact_LastCallTime__c,qbdialer__ResponseTime__c,LID__LinkedIn_Company_Id__c,zisf__ZoomInfo_Complete_Status__c,zisf__ZoomInfo_Industry__c,zisf__ZoomInfo_Last_Clean_Run__c,zisf__Zoom_Clean_Status__c,zisf__zoom_id__c,zisf__zoom_lastupdated__c
0011R00001z0X6RQAU,0,,VRG 1,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-22,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,2018-10-29,2018-10-28,,,TestDrive,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z0XTpQAM,0,,VRG 2,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-22,0053600000D5c3CAAR,2018-10-22,0053600000D5c3CAAR,2018-10-22,,,,Partner,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z0clZQAQ,0,,VRG 3,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Biotechnology,,,,,,,,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,2018-10-23,2018-10-23,,,Trade Show,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z0mlYQAQ,0,,VRG 4,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,2018-10-23,,,,Partner,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z0ohgQAA,0,,VRG 5,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,2018-10-23,2018-09-20,,,Website-Developer Edition,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z0uMBQAY,0,,VRG 6,,000000000000000AAA,,San Francisco,California,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Chemicals,1000000000,10000,,,,,,00536000006DI2SAAW,2018-10-23,00536000006DI2SAAW,2018-10-23,00536000006DZLrAAO,2018-11-05,2018-11-05,,,Google AdWords,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z10NgQAI,0,,VRG 7,,000000000000000AAA,,San Diego,California,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Technology,1000000000,10685,,,,,,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DZLrAAO,2018-10-24,2018-10-23,,,Website-Free Trial,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1109QAA,0,,VRG 8,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,2018-10-24,,,,Customer,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z119FQAQ,0,,VRG 9,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,2018-10-24,,,,Customer,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z17MtQAI,0,,VRG 10,,000000000000000AAA,,New York,New York,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Media,1000000000,10000,,,,,,00536000006DdI0AAK,2018-10-24,0053600000D60MTAAZ,2018-10-28,00536000006DZLrAAO,2018-11-13,2018-11-13,,,Website - Content Download,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z18O5QAI,0,,VRG 11,Prospect,000000000000000AAA,"9200 Shelbyville Road Louisville, KY 40222 Tel",Louisville,KY,40222,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Technology,,,,,"Certified, Inc. offers large, complex customers high value services and products. They offer four standard commercial analytic models and customized models using our data and behavioral scientist to design a unique analytic framework and model to meet a specific business inquiry. The company evolved from the ground-breaking modeling, mathematical and analytical work developed by a team of actuaries, data and behavioral scientist and key technology vendors.Certilytics commercially-available models Data Services (Security, Assembly, Cleansing, Integrity, Enrichment - ?SACIE?) Provider Profiling Financial Forecasting, Risk Underwriting and Assessment, Modeling Population Health Management, Behavioral Science Payment Integrity",,,0053600000D5bx4AAB,2018-10-25,0053600000D5bx4AAB,2018-11-14,0053600000D5bx4AAB,2018-11-14,2018-11-14,,,Website-Free Trial,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1HaTQAU,0,,VRG 12,,000000000000000AAA,,Oklahoma City,Oklahoma,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000006DI2SAAW,2018-10-25,00536000006DI2SAAW,2018-10-25,00536000006DI2SAAW,2018-10-25,2018-10-24,,,DemandZen,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1IMjQAM,0,,VRG 13,,000000000000000AAA,,,,,UK,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,10,,,,,,0051R00000EUebZQAT,2018-10-25,00536000006CbBOAA0,2018-11-08,00536000006CbBOAA0,2018-11-08,2018-11-07,,,,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1PDtQAM,0,,VRG 14,Customer,000000000000000AAA,,,IA,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Insurance,,,,,,,,00536000006CbBOAA0,2018-10-26,00536000006CbBOAA0,2018-10-26,00536000006CbBOAA0,2018-10-27,2018-10-27,,,,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1TSMQA2,0,,VRG 15,Prospect,000000000000000AAA,403 Wasthington Ave,Montgomery,Alabama,36104,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Consulting,100000000,500,,,,,,0053600000D5bx4AAB,2018-10-26,00536000008Ge5aAAC,2018-10-28,0053600000D5bx4AAB,2018-10-28,2018-10-23,,,Trade Show,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1n6RQAQ,0,,VRG 16,,000000000000000AAA,,,,,China,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000006CfnPAAS,2018-10-29,00536000006CfnPAAS,2018-10-29,00536000006CfnPAAS,2018-11-09,2018-11-09,,,Website-Developer Edition,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1nIhQAI,0,,VRG 17,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Energy,,,,,,,,0053600000D5c3CAAR,2018-10-29,0053600000D5c3CAAR,2018-10-29,0053600000D5c3CAAR,2018-10-29,,,,Customer,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1yFsQAI,0,,VRG 18,Prospect,000000000000000AAA,"2121 N. California Boulevard, Suite 400 Walnut Creek, CA 94596 (866) 289-5977",Walnut Creek,CA,94596,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Finance,500000000,500,,,"TTT is a provider of online and mobile payment solutions for global marketplaces, software, and large vertical markets, powering electronic payments for sharing economy platforms, such as HomeAway® and VRBO®, software companies, such as Kigo®, and thousands of apartment and vacation rental companies, homeowners'? associations, self-storage companies, and many other markets.   Yapstone processes over $20B in payment volume annually and has been recognized on the Inc. 5000 list of Fastest-Growing Private Companies for ten consecutive years, as well as San Francisco Bay Area's Best and Brightest Company to Work For by the National Association for Business Resources.   The company has raised over $120 million from investors including Premji Invest, Accel Partners, Meritech Capital and MasterCard. Headquartered in Walnut Creek, California, Yapstone has additional offices in Santa Monica,",,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-11-09,0053600000D5bx4AAB,2018-11-09,2018-11-09,,,Website,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1yGbQAI,0,,VRG 19,,000000000000000AAA,,,ON,,Canada,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Media,1000000000,200,,,,,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-10-30,00536000006DZLrAAO,2018-11-12,2018-11-12,,,Website - Contact Us,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1yJBQAY,0,,VRG 20,,000000000000000AAA,,,IN,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Technology,,,,,,,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-10-30,00536000006DZLrAAO,2018-11-13,2018-11-12,,,Other,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z1yJQQAY,0,,VRG 21,,000000000000000AAA,3 Trask Lane,Danvers,Massachusetts,1923,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Healthcare,100000000,500,,,,,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-10-30,00536000006DZLrAAO,2018-11-08,2018-11-08,,,Website,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z2CdqQAE,0,,VRG 22,Integrator,000000000000000AAA,,,Kanagawa,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Manufacturing,500000000,1000,,,,,,0053600000D5batAAB,2018-10-31,0053600000D5batAAB,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-13,,,Website - Contact Us,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z2CeAQAU,0,,VRG 23,Customer,000000000000000AAA,,,Tokyo,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,5000,,,,,,0053600000D5batAAB,2018-10-31,0053600000D5batAAB,2018-10-31,00536000006DZLrAAO,2018-10-31,,,,,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001z2FSEQA2,0,,VRG 24,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D6H6NAAV,2018-10-31,0053600000D6H6NAAV,2018-10-31,0053600000D6H6NAAV,2018-10-31,2018-10-27,,,Website - Content Download,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001zc7a0QAA,0,,VRG 25,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000006CfnPAAS,2018-11-05,00536000006CfnPAAS,2018-11-05,00536000006CfnPAAS,2018-11-07,2018-11-07,,,Website-Free Trial,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001zcYz2QAE,0,,VRG 26,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,0053600000D5c3CAAR,2018-11-06,0053600000D5c3CAAR,2018-11-06,0053600000D5c3CAAR,2018-11-06,2018-10-09,,,Website,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001zd4RmQAI,0,,VRG 27,,000000000000000AAA,,,,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000006CfnPAAS,2018-11-07,00536000006CfnPAAS,2018-11-07,00536000006CfnPAAS,2018-11-07,2018-11-06,,,Website-Free Trial,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R00001zdUALQA2,0,,VRG 28,,000000000000000AAA,,,Zhejiang Sheng,,China,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Technology,,,,,,,,0053600000D5c3CAAR,2018-11-08,00536000006CfnPAAS,2018-11-08,00536000006DZLrAAO,2018-11-08,2018-11-08,,,Website - Content Download,,,,,0,,0,,,,Not Compared,,,Not Compared,,
