Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,StageSortOrder,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastStageChangeDate,FiscalYear,FiscalQuarter,PrimaryPartnerAccountId,SyncedQuoteId,ContractId,Budget_Confirmed__c,Discovery_Completed__c,ROI_Analysis_Completed__c,LID__LinkedIn_Company_Id__c,Loss_Reason__c,Referral_Partner_Company__c,Referral_Partner_Contact__c,Stage_Moved_to_POC__c,GCLID__c,Are_you_familiar_with_Graph_db_O__c,Competitor_Notes_O__c,Contacts_Role_o__c,Do_you_have_a_timeline__c,How_do_you_want_to_deploy_o__c,Interest_Notes_o__c,Interest_Score_o__c,Role_Score_o__c,SQL_SCORE_o__c,Timeline_Score_o__c,Title_Rank__c,Title_Score_o__c,Use_Graph_Score_o__c,What_s_your_interest_in_TigerGraph__c,What_capabilities_are_you_looking_for_o__c
0061R00000klfqeQAA,0,0011R00001z0XTpQAM,0,VRG Corporation,,POC,3,20000,50,10000,,2018-12-20,New Business,2018/11/30 trial end,Partner,0,0,Pipeline,Pipeline,000000000000000AAA,,,0053600000D5c3CAAR,2018-10-22,0053600000D5c3CAAR,2018-11-12,0053600000D5c3CAAR,11/12/18 2:28,,2018-11-12,2018,4,,,,0,0,0,,,0013600001uNEopAAG,,2018-11-11,,,,,,,,,,,,,,,,
0061R00000klgwKQAQ,0,0013600001yymh3AAA,0,VRG Corporation,,Qualification,1,,10,,,2018-12-31,,,Trade Show,0,0,Pipeline,Pipeline,701360000008XDMAA2,,,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,10/22/18 18:05,2018-10-22,,2018,4,,,,0,0,0,,,,,,,Yes_5;AllegroGraph,,Sponsor_10,6 mos to 9 mos_7,GCP,,7,10,26,7,VP_EVP_SVP_7,7,5,Current solution issues_7;Can't meet new requirements,
0061R00000klk8hQAA,0,0011R00001z0clZQAQ,0,VRG Corporation,,Qualification,1,,10,,,2018-12-31,,,Trade Show,0,0,Pipeline,Pipeline,701360000008XDMAA2,,,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,10/22/18 18:38,,,2018,4,,,,0,0,0,,,,,,,Yes_5;Neptune;DataStax;AllegroGraph,,Evaluator_5,ASAP to 6 mos_10,Hybrid,,15,5,,10,Director_5,5,5,Initiative_5;Scale and performance;Has requirements_10,Neptune is slow and expensive. We can't do multi-hop analysis as fast as we need.
0061R00000km8buQAA,0,0011R00001z17MtQAI,0,VRG Corporation,,Qualification,1,,10,,,2019-05-31,New Business,,Website - Content Download,0,0,Pipeline,Pipeline,Request-Demo,,,00536000006DdI0AAK,2018-10-24,0053600000D60MTAAZ,2018-11-05,00536000006DdI0AAK,11/5/18 21:25,2018-11-05,,2019,2,,,,0,0,0,,,,,,,Yes_5;Neptune,"Not familiar with Neo4j, doesn't lik eNeptune or DGraph, had issues with ingest & real-time capabilities",Evaluator_5;Technical User_2,ASAP to 6 mos_10,,"Inges, scalability, real-time",20,7,45,10,Analyst_Data Scientist_3,3,5,Project_10;Scale and performance;Other;Has requirements_10,Has extremely large data set. Looking for real-time capabilities.
0061R00000kmNTRQA2,0,0011R00001z1TSMQA2,0,VRG Corporation,,Closed Lost,7,,0,,,2018-12-31,New Business,,Trade Show,1,0,Omitted,Omitted,70136000000m452AAA,,,0053600000D5bx4AAB,2018-10-26,00536000008Ge5aAAC,2018-10-28,0053600000D5bx4AAB,10/28/18 12:55,2018-10-23,2018-10-28,2018,4,,,,0,0,0,,Other,,,,,Yes_5,Aware of Neo4j and DataStax. Working with another vendor that he would not mention by name.,Evaluator_5;Access to sponsor_5,ASAP to 6 mos_10,,Building custom ontologies,10,10,38,10,Manager_3,3,5,Project_10,They are considering a Property Graph from Rosoka our of Vierra VA and were looking for an alternative.  Abhi confirmed that they are not a fit based on our Q&A (prospect showed us a demo of Rosoka) and it has a lot of NLP.  All this is documented.
0061R00000kmVJ7QAM,0,0011R00001z1nIhQAI,0,VRG Corporation,,Qualification,1,50000,10,5000,,2019-06-30,New Business,,Employee Referral,0,0,Pipeline,Pipeline,000000000000000AAA,,,0053600000D5c3CAAR,2018-10-29,0053600000D5c3CAAR,2018-11-08,00536000006CfnPAAS,11/8/18 7:16,,,2019,2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
0061R00000kmaR5QAI,0,0013600000JRBKAAA5,0,VRG Corporation,,Qualification,1,,10,,,2018-12-31,,,Trade Show,0,0,Pipeline,Pipeline,70136000000m452AAA,,,0053600000D6H6NAAV,2018-10-29,00536000008Ge5aAAC,2018-10-29,00536000008Ge5aAAC,10/29/18 23:04,2018-10-29,,2018,4,,,,0,0,0,,,,,,,Yes_5;Neo4J,Also have experience with SparkGraph and GraphX,Evaluator_5;Access to sponsor_5,6 mos to 9 mos_7,,"Building an ID Graph for segmentation analytics to support marketing - Customer data, device data to understand demographic trends and engagement",10,5,32,7,Director_5,5,5,Project_10,
0061R00000kmaeFQAQ,0,0013600001yyt4SAAQ,0,VRG Corporation,,Qualification,1,100000,10,10000,,2019-01-31,New Business,11/5- Procurement has our NDA waiting to be reviewed-backlog. Meeting not scheduled yet,Sales Activity,0,0,Pipeline,Pipeline,000000000000000AAA,,,00536000006DI2SAAW,2018-10-29,00536000006DI2SAAW,2018-11-07,00536000006DI2SAAW,11/13/18 0:52,2018-11-12,,2019,1,,,,0,0,0,,,,,,,Yes_5;Neo4J,POC w/ Neo4j,Evaluator_5;Sponsor_10,,,,,,,,,,,Initiative_5,Large Data Set/ Multiple Hops 5+
0061R00000kmblVQAQ,0,0011R00001z1yFsQAI,0,VRG Corporation,Need for Saran to start evaluating system on week of 11/13,Qualification,1,30000,10,3000,,2019-01-24,New Business,Engineer has been Assigned,Website,0,0,Pipeline,Pipeline,Request-Demo,,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-11-08,0053600000D5bx4AAB,11/9/18 20:10,2018-11-09,,2019,1,,,,0,0,0,,,,,2018-11-01,,Yes_5;Neo4J,Pravin used Neo4j when he was at Western Union,Evaluator_5;Access to sponsor_5,,,Need a graph for customer due diligence and fraud detection.,10,10,30,,Director_5,5,5,Project_10,Scale up and out - Comparing N4j
0061R00000kmbluQAA,0,0011R00001z1yGbQAI,0,VRG Corporation,,Qualification,1,30000,10,3000,,2019-01-24,New Business,,Website - Contact Us,0,0,Pipeline,Pipeline,701360000011bW1AAI,,,0053600000D5bx4AAB,2018-10-30,0053600000D5bx4AAB,2018-11-08,00536000006DZLrAAO,11/8/18 18:43,,,2019,1,,,,0,0,0,,,0011R00001z1yGbQAI,,2018-11-05,,,,,,,,,,,,,,,,
